id,text,label
8136,"Il n'y a pas de lumière, pas de courant. Où sont les propriétaires ?",-1
7048,On ne torture point femme sur mes terres. La brôler vive suffira !,-1
5186,Les invités savent que vous n'êtes pas la première femme trompée.,0
8769,"Je sais ce que tu as fait, Malfoy. Vous lui avez jeté un sort, non?",-1
846,Je suis l'avocat d'Edward Lewis. Où est l'invité d'honneur ?,0
1989,Je ne vous attendais pas aujourd'hui après votre impolitesse d'hier.,0
2108,"Dites-le, si vous faites une pause. Moi, je suis chaud.",-1
9093,On se crève le cul à arrêter les terroristes et ils vous tirent dans la jambe.,-1
6511,"Vous devriez rencontrer mon ami Thackery, il est presque aussi dingue que vous.",0
918,"Venez, mes amis. C'est une tradition de longue date !",1
6828,Je le dirais aux parents. Tu n'as pas le droit de nous gifler.,-1
4696,"Ils partagèrent un sac de couchage, des biscuits et du soda.",0
5805,"J'ai souvent voulu te le dire, mais je savais pas comment.",0
6577,On a besoin de calme. On ne sait pas ce qu'elle peut faire.,-1
6039,ça faisait trois ans qu'on était accrochés là à attendre un enfant !,1
7900,"Où tu vas, t'es dans les vapes ? Tu as dit de le découper.",-1
9612,Ma nouvelle et entière directrice artistique pourrait-elle être un peu plus explicite sur ses pensées concernant le slogan...,0
2325,nous venons d'apprendre que la femme enceinte et son bébé,0
8240,"Qui y ont consacré leur vie et ce, dans les conditions les plus difficiles.",1
1959,"Docteur, voulez-vous dire que vous avez ""fait"" ce jeune homme?",0
2683,"""M. Merrick n'a jamais été présenté à la société londonienne.",-1
2278,"Mais là encore, vous êtes déjà quelqu'un, n'est-ce pas, Harry?",-1
1900,Tu as toute la journée. Sniffe pas tout d'un coup.,-1
4222,"Moi, elle m'a demandé d'être simple. Vous les avez bien eus.",0
2574,Comme le marié qui porte sa femme dans la maison...,0
9763,"C'est impossible, Hub. Il n'y a qu'un seul sceau des Montmirail. Il a été vendu par papa avec le château !",-1
4759,"C'est la raison pour laquelle on fait cette soirée, après tout.",0
16,C'est un boulot. C'est pas La Mélodie du bonheur !,-1
2871,Qu'est-ce que ça fout là ? C'est pour me protéger.,-1
2408,"S'il y a une hémolyse, ses globules rouges vont exploser,",-1
1867,ça fait six mois ! Je m'en fiche. Faut l'enlever.,0
2058,Il parait un peu plus vieux que je ne pensais.,-1
4740,Profite du spectacle. Si vous savez même ce que vous regardez.,1
6861,"Peu à peu votre cerveau se dégrade, perte du langage, de la mémoire,",-1
4472,"Enfin, de l'eau de mélisse ! Mais ça sert pour tout.",1
5962,Ils arrivent. Tu es sr que c'tait une bonne ide ?,1
6495,C'est lui qui va se noyer quand je mettrai la main sur lui.,-1
165,"Excusez-moi, je crois que j'ai laissé mes clefs quelque part.",-1
4599,Le blé ? Mon Dieu ! Mais avant que j’oublie ...,0
3680,Je lui ai dit : "Voici ce que tu dois faire.,0
1844,Par là. C'est plus sympa que de faire la queue.,1
3392,"Tu veux faire quoi, blanc bec ? T'es un héros ?",0
3611,David m'a avisé de la situation et nous examinons nos options.,1
2872,"Aussi tordu que la faucille, aussi dur que le marteau.",-1
1996,pour glaner les bribes les plus accessibles de leur science.,1
390,Tu as déjà mis les pieds dans une mosquée ?,-1
893,dûner ? Il vous faut une robe du soir. Venez.,-1
2804,Le décret du président nous fait perdre un temps précieux.,-1
7012,"Mais si tu joues au con, je vais être forcé de le déranger.",-1
6953,Aucun signe de John et Bernie ? On ne les a pas vus.,-1
1715,Tu déconnes ? Comment on va payer la chambre ?,-1
7025,"Je ne sais pas. Et toi, Yuri? Je ne sais pas non plus.",0
9180,C'est le soldat du lit 13. Allez vous asseoir près de lui minute. Tenez-lui la main.,0
4720,"Un pantalon sur mon projecteur? Ouais, parce que euh... Peu importe.",-1
5733,"Alors, il va falloir qu'il n'ait que des A, cette année.",1
5532,Où est ton cousin ? Il est parti avec Monsieur Ouille.,0
3033,Quel est le suivant? Lis-moi ça. Qu'est-ce que ça dit?,0
8412,"Et ça a traîné partout : les marins, les filles, y en a marre.",-1
9476,Allô ? Allô ? Je voudrais parler au Dr Sorbier. J'appelle de la part de Pierre Brochant.,0
9513,"Tu crois que j'ai le choix ? Je vais là-bas pour mon travail, pas pour jouer au golf.",-1
3772,Le vent a tourné et le boy-scout a pris le dessus!,-1
1470,Et puis les Parisiennes ont une sorte de charme indéfinissable.,1
3546,Tentez votre chance ! Venez gagner un vrai Buzz Lightyear !,1
3092,Nous ferions mieux de chercher le chemin du retour !,-1
9823,"J'étais là quand vous lui avez dit de ne pas venir à l'hôpital, et... je l'ai vu si perdu, si misérable, que...",-1
4993,"Je n'y crois pas, je ne vais jamais jamais en sortir...",-1
6259,"Non, mais tu l'as trouvé où ? Là, dans la boîte à cigares.",-1
8304,Les autres professeurs ont dit oui. Je ne comprends pas où est votre problème.,-1
283,Tu veux qu'on les passe par la route? Pourquoi pas?,1
2520,Il y a quelqu'un ? On va avoir des ennuis.,-1
5825,tu te rends compte ? On ne l'avait jamais vue avant.,0
7742,nos nobles auront un droit de cuissage sur elle la nuit de ses noces.,-1
3579,à vos marques... Et c'est comme ça qu'il te traite ?,0
2654,"Espèce de vieillard ! Va te faire foutre, connard !",-1
8986,"T'es gentil, ne te dérange pas, je préfère rester seul... Bonne nuit, et encore merci.",-1
7301,vous vous etes bourré de whiskey et vous etes tombé dans la glycérine.,-1
2749,Sois un peu plus tolérant avec les gens malades !,1
9778,On laisse les yeux vous en aurez pour la semaine !,0
6438,car ce film a confondu mon histoire avec celle de ma sœur Colette,0
5164,Tu es descendu après le choc ou tu as continué ?,0
6455,"J'ai dû signer un accord, ou on ne te laissait pas voir David.",-1
8742,Tout est dans le rembourrage. Je viens par le farce naturellement. Qu'est-ce qui m'a trahi?,-1
6933,"toute sa vie, comme tous ces pauvres nases qui se saoîlent à mort,",-1
3233,Il doit y avoir une porte dérobée... Un passage secret...,0
3832,"Vous n'avez pas à vous excuser, ce n'est pas votre faute.",-1
2983,Et Turner se met en mouvement à I'arrière du terrain.,0
3894,j'étais trop content de parler avec quelqu'un qui sent la bougie.,1
3896,à 1 h du mat ? Après un mois d'absence ?,0
2007,mais reviens avant le commandant ou il aura notre peau!,-1
5029,Il y a un problème. On va dans ma chambre ?,0
4668,Vous ne devinerez jamais qui est là. Jamais de la vie.,-1
4309,"C'est moi Doudou ! Et toi, tu baises ma femme !",-1
8938,"Maman a dit que c'est une honte. Moi, je touve ça un objet de curieusité.",-1
8529,que je n'ai jamais mis les pieds sur un yacht de moins de 25 mètres.,-1
4191,"Pour descendre la rivière, d'où me conseillez-vous de me lancer ?",0
6624,Il faut établir le circuit sur un niveau de cinq ou six parsecs.,0
7318,Vous auriez pu inventer une histoire. Je n'ai pas envie de vous mentir.,-1
2220,Tu vas t'occuper de Lily qui est toute seule !,1
6245,"Elle est à qui la voiture ? Tu l'as trouvée où, Alex ?",0
6569,Je l'ai entendu entrer avec vous autres. Je suis contente de le voir.,1
7123,"Qu'après sa mort, il aura dix oiselles qui ne se sont jamais accouplées",-1
5870,Vous vouliez nous laisser sur le perron ? Nous sommes trempés.,-1
5756,"Tout ce que tu fais, tu le fais pour les autres.",0
2386,C'est ici que tu te caches après l'extinction des feux.,0
4926,ça vous aurait servi de leçon que je ne... et il...,-1
8613,ça vous gêne ? C'est à moi. Je viendrai le chercher quand il sera sec.,0
8566,"Alex, fais demi-tour ! Merde ! On a les flics au cul, je peux pas.",-1
652,Ce qui m'amène à la règle n° 53 : Lingettes.,0
5714,il partait par la fenêtre une nuit et venait me voir.,0
1506,"Ah, je suis au moins content que vous ayez compris.",1
4777,"L'utilité d'un chapeau est de suivre la tendance de la société,",1
4636,"Notre Fée Bleue existe en un lieu, et un seul lieu.",1
169,Tu peux te pousser un peu ? C'était ma corne.,0
5742,"Je vous garantis que si vous venez en Caroline du Sud,",0
2216,Joue pas au con. Tu m'as inscrit ou pas ?,-1
5259,Enlevez votre veste. Elle se meurt. Il lui faut du sang.,-1
5951,depuis que notre matre a dsintgr notre dernier drode de protocole.,1
4593,Mais oui. Il est le plus grand héros que je connaisse.,1
2335,"et je l'ai poussée à fond, j'allais vite, très vite.",0
7575,"Non, non. Mes amis en ont vu d'autres. Ne te fais pas de souci.",-1
6974,Qu'est-ce que tu regardes ? Tu veux que je parle en prose ?,0
2571,"Nam-joo, raconte-leur ce qu'on nous a dit tout à l'heure.",0
349,"Du coup, c'est notre voiture qui prend, c'est ça ?",0
9571,"J'en ai ras le bol de tes boniments ! Je ne te crois pas, un point c'est tout.",-1
7396,Je suis Alley. Désolé pour la clôture. Les gens interfèrent avec notre travail.,-1
4784,"Tu as mangé les tartes, et laissé les miettes ici ?",0
9900,"Et vous vous êtes brouillés pourquoi ? Parce qu'iI tournait autour de votre femme ? Mais pas du tout, c'est moi qui la lui ai prise.",-1
3317,Je ne vous imaginais pas du tout comme ça !,-1
978,De quoi il parle ? Un tiers des parts ?,-1
4508,"Impératif, c'est bien joli. Mais moi, je suis en pleine coupe.",-1
4316,"Hé ? Il les a semés bibi ou pas, oh ?",0
9081,"Oh, le salaud ! Le saligaud ! Il l'a fait exprès ! Regardez, Mme Picard !",-1
5609,Les gitans sont connus pour avoir l'art de négocier en affaires.,1
3723,Tu détestes les non-croyants parce qu'ils n'ont ni foi ni idéal.,-1
1727,"Maud, ma chérie. Ne laissez pas votre esprit s'attarder là-dessus.",-1
6370,"Il a estourbi un collaborateur. Quoi ? Alors là, c'est le pompon !",-1
2999,Pour avoir quelque chose sur moi avec mon nom dessus.,0
4040,On l'a trouvée dans une benne. Qui était son mac ?,-1
3667,"des éclopés et des maisons de fous. J'en sais rien, moi.",-1
1799,Alors je ne vois pas pourquoi vous faites autant d'histoires.,-1
9411,"sans savoir ce qui se passe, à une scène dans son jardin, mais elle croit qu'elle sait.",0
7905,j'ai pas moufté. Il était si remonté qu'il a pas dit au revoir.,-1
4339,"ça va, Rémi ? Bouge pas, on vient te chercher !",-1
9873,"Mais ça tombe très bien, ça ! On appelle de la part de Roussin, qui n'a pas pu joindre Meneaux avant de prendre l'avion.",1
8941,Vous m'avez dit qu'il en avait pour une demi heure !! A peu près !,0
7106,"Oui. Il me faut t'avertis, ma Fripouille, j'ai vu un enchanteur ce tantôt.",-1
7763,"Ma chérie, ce n'est pas la question. Arrêtez de m'appeler à ma chérie.",-1
4293,"Moi, par contre, je veux bien une petite coupe de Ruinart.",0
1383,Convoque une réunion des nobles. Ils ne font que parler.,0
852,"J'ai déjà vu celle de Stallone... Au bout, à droite.",1
3358,Ne vous inquitez pas. On sait ce qu'il faut faire.,0
1049,Ils s'en vont sans rien dire vers de grands espaces,1
5266,Et elle a trouvé la paix. Je vous en prie !,1
177,Qu'est-ce que ça veut dire ? ça veut dire "enlever".,0
6228,"Je suis désolé. Le truc, il est parti... J'ouvre pas souvent de bouteille.",-1
8807,mais serait-il possible que vous ayez une table pour deux ce soir vers 20h ?,0
9736,"Eh, M. Pignon, votre prénom à vous, c'est François, c'est juste ? Oui. Eh bien lui, c'est pareil, c'est Juste.",1
5344,"Je suis allé dans la cour, on m'avait livré mes légumes.",0
1163,Bah devine ? On est là pour ton anniversaire !,0
3913,"Tu ne peux pas retourner à la maison, Penny. D'accord ?",-1
2628,"C'est qui le gros type avec sa bande, là-bas ?",0
8546,Je n'ai pas à rester ici et à écouter un autre mot de ça !,-1
6788,On a suivi un cours enrichi ensemble. Et tu ne t'en souviens pas.,-1
7379,"On va toujours dûner mercredi prochain, mais cette fois, c'est vous qui m'invitez.",1
3056,"Johnson Commons, de la glace autant qu'on peut en manger.",1
4156,si une personne fait quoi que ce soit pour gâcher ça...,1
9984,"Mais enfin, je suis censé être un de vos amis. Il ne va pas faire des heures supplémentaires chez moi, tout de même. Ben vous ne connaissez pas Cheval, il contrôlerait sa mère.",-1
9838,Ma femme a signé le roman de son nom de jeune fille : Christine Le Guirrec. Ah bon ? Elle est bretonne ?,-1
1016,quand cette meurtrière de muette sera sur le bûcher !,-1
3607,Dix fois plus gros que tout ce qu'on avait signé jusque-là.,0
5145,"Je suis désolé, au fait, professeur, plus tôt aujourd'hui, notre malentendu.",-1
7784,"Une erreur... une énorme connerie, oui ! Il y a Français et Français !",-1
9268,Ils sont sortis faire des courses. Je les préviens que vous êtes là dès qu'ils rentrent.,0
680,"D'abord, on a peut-être rattrapé Little Rock. Pour de bon.",1
3268,Qu'est ce que vous dites ? C'est la police !,-1
6588,Y a des fédés partout. Et alors ? Où ils vont aller ?,-1
8532,la période du 1600 Pennsylvania Av. est sans doute la plus belle de ma vie.,1
3956,"Ils ont besoin d'un héros pour leur dire que, parfois, l'impossible",-1
9997,"Vous me dites : L'autre folle va rappliquer, l'autre folle va rappliquer ! Moi, je vois arriver une femme, je me dis : C'est elle, c'est la follingue ! Mais de qui il parle, là ?",-1
6695,"perdant, à chaque fois. Je ne peux vraiment pas supporter cela ce soir.",-1
4067,Il n'est pas vraiment mon oncle. Ils ne le sont jamais...,-1
791,"J'ai eu chaud. J'en ai mal au cœur, dites donc.",-1
6976,On aurait dit un âne. Il s'est mis à pleurer et à braire.,-1
3137,Je voulais vous proposer de l'emmener chez nous à Madrid.,0
1720,Je ne crois pas. On n'a pas de lien consanguin.,-1
6042,"mais toi, tu es le seul qui peut s'écraser comme un vrai pro.",-1
139,"Elle espère que je vais mourir, mais ça n'arrivera pas.",-1
5018,"Oh, la vache ! Je l'ai vu. Je le vois. Heu...",1
3498,Imaginez: sa retraite ne suffit même pas à nourrir son chien.,-1
3480,"Et il est toujours en baisse maintenant, trois ans plus tard.",-1
335,Il y a une fille d'une association qui m'a écrit.,0
1752,Il aurait fière allure sur votre joli manteau de paille!,1
2327,Il ne faut pas qu'elle le sache. Pas dans l'immédiat.,-1
2659,Mets ça dans les affaires de la paysanne. Cache-le bien.,1
5501,"Ne hurle pas. S'ils ont envie de prier, ils prient !",-1
5489,Nomme-moi cousin Hubert et plus jamais Messire. Tu as compris ?,0
8013,"Et si vous aviez une once de respect de vous-même, vous remettriez ce livre.",-1
4988,Puis-je vous poser quelques questions? Puisque je suis ici pour travailler...,0
2159,"-Téma, mec. Pardon. Y a des culottes dans des cadres.",-1
1333,"Mais ça, c'est pour empêcher les animaux de sortir, non?",-1
8670,"Je serai heureux de vous y emmener, petite dame, mais il n'y a personne là-haut.",-1
6140,"-Moi, c'est Lucie. C'est pas un nom pour une pute, alors c'est Lulu.",0
8310,C'est que Dee Dee a dit. Elle a dit que t'avais une nouvelle maman.,0
4856,Paulie vient de m'en parler. Faut aller le sortir de là.,-1
2207,Qu'est-ce que tu fous ? D'où tu sors ça ?,0
4867,On est toi et moi. C'est ça quand on s'en va.,0
6137,Il y a ce garon de dix-huit ans qui est soldat dans l'arme.,0
8026,"Très bien, fermez les yeux. De cette façon, vous ne pouvez pas être tenté.",1
5429,"Non, il souffre de bronchite chronique et il a été battu.",-1
569,Il n'y a qu'une seule chose dont je me souviens.,-1
2961,"C'est quoi, ce cirque ? Tu l'achèves ou pas ?",0
3031,"Pas si mal, si on considère d'où il est parti.",1
522,Je me rappelle la nuit où mon père est mort.,-1
8223,Eh Jacky ! Je lance la boule et je m'éclate ! ... Allez !,1
3438,Le ciel est un monde inconnu plus profond que la mer.,0
3724,"Il faut avoir grandi, comme moi, dans un village sans électricité",0
9804,"Papa a toujours prétendu qu'un souterrain partait de la chambre du Hardi, mais avec mes cousins, on ne les a jamais trouvées.",-1
4464,"Si père était là, il vous flanquerait une de ses tourlouzes.",0
3910,J'étais persuadé que Wichita et moi étions faits l'un pour l'autre.,1
628,-C'est la seule chose que j'ai réussie dans ma vie.,1
8684,"qui se tapaient le métro et s'angoissaient pour les fins de mois, c'étaient des zéros.",-1
5393,"Le mien, je le garde. Dans 2h30 tu peux bouger d'ici.",0
9698,"Je ne sais pas, je ne me souviens pas. Je pense peut-être qu'elle a dit que tu étais un 4.",0
4312,"Mais je peux pas, j'ai tisé. J'ai même plus de permis.",-1
1508,Hermann a toujours été correct. Nous lui devons une explication.,1
6609,"qui me cherchaient des poux pour la Lufthansa. En fait, c'étaient les Stups.",-1
517,"N'oublions pas le calcium, pour les os et les dents.",1
2810,"Dis, Alabama... Je peux te poser une petite question ?",0
2840,Il l'a peut-être forcée. Elle n'a rien pu nous dire.,-1
6600,On a eu un problème. On a fait tout ce qu'on a pu.,1
810,"Son mari est venu de l'arrire-pays, pcher pour les usines.",0
8276,"Parce que demain, je crois que je vais devoir te montrer comment ça marche.",0
3505,Montre à ce Monsieur les chiens ramassés ces deux derniers jours.,0
9171,"Ne me force pas  te faire mal, Green ! Fais voir ce que t'as !",1
1783,"Lord Ascot, il y a quelqu'un dans votre bureau personnel.",-1
8215,"Une tête de crétin ! Ah, que non ! C'est un saint homme !",-1
9107,"et c'est tout à son honneur, mais il était bel et bien membre d'un réseau actif.",1
5158,Seija a envoyé l'avocat de la boîte pour s'occuper de tout.,0
493,Qu'est-ce que tu fous? Tu devais l'avoir au 1er round!,-1
8234,T'as été forcé de rentrer après avoir chopé une jaunisse à coup de bitures.,-1
2193,"Chambrez-le si vous voulez, moi je réponds de ce lascar.",1
304,"Qu'est-ce que tu racontes? J'étais là, je les ai vues.",0
2836,Je n'ai pas souvent de repas maison sur la route.,-1
257,Tout le monde sur le toit et que ça saute.,0
2324,Qu'est-ce que tu as pris ? De la marijuana ?,-1
9310,"J'ai peur. Non, la stratégie est excellente. C'est pas la stratégie qui m'inquiète, c'est le stratège.",1
3979,"Je vais me donner à fond, et ça va faire mal.",-1
137,Qu'est-ce que tu fais ? Il veut de l'eau chaude.,-1
1590,"Des oiseaux par millions, je deviens à présent un lion.",1
8913,Il y a très peu de choses sur Michael. Presque tout son dossier a disparu.,-1
5730,A-t-il plaqué après le coup de sifflet? Je ne crois pas.,-1
1491,Merci pour cette farandole. J'ai que ça à faire !,1
1322,"Et il s'en sert? Oui, il y est très attaché.",0
4807,"Je commence à émerger, et qui je vois devant moi ?",-1
1994,"et rien, absolument rien d'eux ne demeure à la surface.",-1
2831,Je suis parti à Chicago quand je me suis marié.,0
419,Mais je ne t'ai jamais vue admettre le moindre tort.,-1
2009,Mais les traces de notre visiteur sont celles d'un bipède.,0
4497,"Mais on est tous témoin ici. Absolument, nous l'avons tous entendu.",1
3769,"Il a pris le train en marche, je monte à bord.",0
2020,Je ne peux pas vous laisser faire ça non plus.,-1
9441,"Tel bordel dans ce nouveau sac ! Y a trop de poches, on pourrait chier dedans !",-1
1541,On a parlé tout-à-l'heure de mariage intervenu en mai 52.,0
890,Qui est la fille ? Tu ne la connais pas.,-1
4235,"ni intuition, ni convictions, ni sueurs froides, ni anges ni démons.",-1
7549,Bientôt. Quand la pluie remplira le canal qui se rend jusqu'à la mer.,1
5979,"Ooh, je suis tellement stupide. Oh. Je suis retombé sur mes fesses!",-1
5323,"Gros bonhomme de fer, ' j'ai a manger pour toi !",1
9790,"On a gagné, M. Cornard ! Je veux dire, M. Brochant. ça a pas été facile, mais on a gagné !",1
811,"En tant que pasteur, nous ne le leur disons pas,",0
6167,"Un mouvement à la Volt. Effrayant, non ? On est comme des jumeaux.",-1
5022,"C'est blessant. Je prends la pilule, on a fait les tests",-1
5860,Vous ne croyez pas si bien dire ! Ah oui ?,-1
147,Ne sentez-vous pas que vous n'avez plus de fièvre ?,-1
9749,"Pierre Brochant, il est au courant pour sa femme, il arrive chez vous pour tout casser ! Bravo, François, bravo.",-1
813,L'Iliouchine est le seul avion qui peut prendre 55 tonnes.,0
1726,la Seine commence à monter plus rapidement que la normale.,0
2044,"Techniquement, il n'est pas européen, techniquement, il est clairement japonais.",0
3278,"Désoléé moi aussi, il appartient d'abord à sa famille !",-1
4838,"Et quand on partait en vacances aux Caraïbes ou à Vegas,",0
4697,Aucun Tenenbaum ne savait qu'elle fumait depuis l'âge de 12 ans.,0
1474,Vous les laissez tomber doucement par terre. Allez hop !,1
8207,"Mais la bague du Hardi est là, ma pauvre amie, et elle flambe !",0
7556,Tu as quelque chose à dire ? Je crois que je le dis.,0
8376,"C'est moi qui suis désolé pour vous, c'est pas drôle, un tour de reins.",-1
1433,Il est sur le point d'être embrassé par un roi.,0
8415,"A nouveau, cet homme peut-il expliquer le mécanisme de l'illusion de M. Angier ?",0
107,"De plus, vous vivez seul avec votre petit frère, non?",0
7725,"On s'est déjà rencontrés, en fait. Au pot de noël, l'an dernier au Sheraton.",0
5679,Ne prends pas ça avec les doigts. Prends... Prends une cui...,-1
2338,"Que veux-tu de plus ? Sois clair, le temps presse.",-1
8918,"II s'échappe. C'est ce que la justice a dit, après qu'il me I'ait eu enlevé.",-1
2596,Ne mets plus jamais les pieds dans la salle d'interrogatoire.,-1
5341,"Il restera le plus douloureux, le plus traumatisant, le plus atroce...",-1
6003,Je suis sûr que c'est elle qui a apporté le soleil à nouveau.,1
9992,"Vous savez combien il prend quand il vient à domicile ? Je suis entre les mains du Professeur Sorbier qui dirige le service de rhumatologie de l'hôpital Broussais, je n'ai pas besoin de Maurice !",0
6910,"N'y a-t-il rien que je puisse faire pour vous, pour vous distraire ?",0
9495,"Il a tenté de vous joindre avant de prendre l'avion, il avait un message urgent pour vous.",0
8097,Maya a compris les leçons de la veille. Elle devra trouver un autre moyen,0
2833,Je suis désolée d'avoir fait ça. Je ne sais pas...,-1
3030,Vous avez fait du beau boulot avec ce jeune homme.,1
9890,"mais au fond de moi-même, c'est toujours un grand champ de ruines, et... je ne souhaite ça à aucun homme, pas même à votre mari.",-1
3516,"Vous savez, certains laissent leurs chiens ici et ne reviennent jamais.",-1
6387,ça ? Y a pas le choix. Le général von Krapp vient d'arriver.,0
4329,Tu te fous de ma gueule ? C'est ton pote ?,-1
8482,"Tu savais pas où était ton cul et là, tu me dis où aller.",-1
5766,Même une femme aussi belle que Mlle Haru a des problèmes.,-1
2994,"Je n'ai nul besoin que vous approuviez mes choix, d'accord?",-1
8898,"Il a un QI mesuré à 80, ce qui le classe dans la sixième catégorie.",0
8925,Le stade de LSU s'appelle la Vallée de la Mort à cause de cette histoire.,-1
3334,Je ne veux pas ! Il faut vous reposer !,-1
8632,Je n'irai pas par 4 chemins. Je suis soldat. J'ai un service à vous demander.,0
8129,"Parce que c'est un pub, c'est un lieu sûr, nous y serons en sécurité.",1
7446,Shrek ! Je regarde en bas ! Je ne peux pas. Laisse-moi retourner.,-1
8860,"Malade, malade, euh ... Alors y a qu'à le faire enfermer, s'il est malade !",-1
9641,"Ne fais pas cette tête, Hub ! On va rapporter la bague du Hardi, un point c'est tout !",-1
6036,"Tu as compris ? C'est de ça que je te parlais, mon lapin.",1
6764,"Oui, je l'ai fait, en fait. Qu'est ce qui te fait penser ça?",-1
2921,Je traitais pas ta mère de pute. Je disais juste...,-1
7616,Hidayet et les avocats sont là. Ce n'est pas moi qu'il faut venir voir.,-1
5009,"-Non. Tu la revendrais derrière. C'est pas un business, pour moi.",-1
5254,"Mina, qu'as-tu ? C'est le plus beau jour de ma vie.",1
8856,Il me donne envie de vomir ! Tu as entendu ce que j'ai entendu ?,-1
6273,"Tout coup, je ralise que tout ça, le flingue, les bombes, la révolution,",0
9644,"Mais pourquoi tu as pris une chambre, toi aussi ?  Parce que je ne veux pas le quitter.",-1
7174,Que veux-tu de plus ? Que je le tue à ta place ?,-1
7108,ou si votre femme se pochtronne en cachette ! Espèce de pignouf !,-1
